# Exported with SCiLS Lab Version 9.00.12376
# Export time: 2022-10-01 23:55:52
# Generated from file: Y:\Ellin\2020\Comp Project\SCiLS Files\04-17-2019_MB_Imaging_raw_data.slx
# Object Full Name: PCA_04-17-2019_MB_Imaging_raw_data
# Object ID: f523de61-e6db-4078-9bca-0461dc8e5cd8
# Object type: PCA
# Object creation time: 2021-03-17 17:47:10
#
Spot index;Coefficient 1;Coefficient 2;Coefficient 3;Coefficient 4;Coefficient 5
183;34205869.031678;-21666577.5010072;-17587937.3165932;-5467332.5198072;4204311.32727212
184;34357247.9428737;-21892742.1705389;-17795078.146181;-6462265.3248235;1105127.53956006
185;44977676.6943806;-20436915.7768528;-14912146.84551;-1881620.75276462;2068908.92539657
186;26163727.6862591;-19721422.5213412;-19343025.0201401;-5804926.36128438;1495890.7416615
187;30195164.635128;-20284762.3171437;-15864625.7922441;-3435233.61468206;-1160233.17816001
188;34472911.4958338;-18953622.2152682;-16384401.5050075;-8446754.91862913;-2249659.32298536
189;25381055.7323876;-17780838.6781443;-12376148.0995387;-4246919.07414654;-4373573.61365906
190;9239424.23472784;-18185492.0977303;-14759102.017063;-5259925.76627885;-1351441.55601959
191;28869257.0650803;-18862926.0762713;-16463545.2405536;-5065436.59047958;-397598.709342677
192;14337835.9069476;-16184907.8549105;-14062819.6889419;-3518265.71178507;-1137162.22060428
193;12891520.0079937;-18721261.5638098;-14732652.2256173;-8756179.96841122;-1393247.49643653
194;24674206.9100039;-15844735.518675;-10332247.6584363;-3939148.4613969;-304571.652092412
195;8534372.02804891;-13278416.4100138;-6928662.46104154;-3572984.56265889;-357996.884490312
196;1010725.06159986;-8796456.63565003;-6893349.78061977;-2071968.99778704;1545888.69841504
197;16589069.1982018;-12428413.364243;-6719322.09511728;-3435905.67701093;-272308.719238103
198;-8147280.35502779;-12132764.0016119;-9708922.74245864;-5140874.82905011;927892.49889549
199;15363541.2340266;-12886475.3226574;-3879406.98874913;-5630690.58606061;-888934.285957574
200;-800087.114646238;-10653684.4319141;-3984613.46443196;-5326597.55578228;592095.143165957
201;14050667.255534;-12445924.9574452;-10738341.8210844;-6874385.54184826;3255403.20404372
202;-5694547.09227431;-10620412.1482376;-4429503.05682683;-1804825.55528445;4360194.19679309
203;29213501.5286496;-10195620.5101086;-1715449.8295102;-937860.270331906;4218344.61067143
204;14885992.5575452;-9776244.24966151;-3201765.03921514;-7023658.38695753;4201042.88117352
205;-693521.310770442;-7067860.95596156;-2403191.26565889;-4870959.68948695;6540538.87083353
206;9209082.57209441;-7552255.42796979;-3100336.96638337;-2131494.64833471;7732025.57684696
207;6287195.61029536;-4297445.17346848;1121219.58099192;-1072702.3426315;8611523.07638207
208;-8061238.32294139;-8924177.17506387;-5573452.04881126;-3518729.36024702;6922019.14198154
209;-10787208.9201786;-6213710.94640163;2074023.6837481;-4278774.53669036;5238989.96181152
210;4252493.92108341;-4442189.03376963;2826027.61022525;-8585730.58007954;9053418.02057484
211;8651505.12366589;-1412538.14238665;5483311.77375405;-7132765.4346126;9905123.20326525
212;-5181939.72782798;982575.644772922;3732203.93559364;-5635012.2761768;18977892.5619026
213;18202899.3735168;1387119.85795144;-324776.81795755;-9554824.39234559;27553389.9060122
214;2514872.45210482;2622558.42554129;-2923642.83606511;-10968677.8093571;25539545.0409096
215;20871848.5718315;3543148.01142065;3191966.30863503;-11523086.292608;26323079.5709557
216;20820186.1020348;6965911.51290835;2553235.33631437;-9663598.72355898;27217100.3876268
217;16941358.5625201;2825498.99145132;-958303.543400535;-10433366.9241024;28961626.7745182
218;31097380.3465685;11881609.0752166;7149454.36686971;-6014132.70720639;29173001.6389607
219;35326936.0236201;8014329.70130071;-1950919.56726858;-7461631.50148628;33625006.2720302
220;50483264.0252421;7514621.71762905;-2786211.03254984;-7352017.33164233;37270126.1389198
221;45693292.141841;4131464.45725081;-3593610.82859385;-8591478.03080438;31487700.7234133
222;48903560.8135537;-6195354.26985746;-13709293.2438883;-14112216.1210572;31644497.9151194
223;-225454379.820698;-7046976.91842627;-25051845.7609407;5839961.63217398;14079142.9100393
224;-229740545.710327;-7060078.41067692;-25740793.7700818;6650127.02803418;14305365.901742
225;-233748906.416719;-6896809.21638047;-25130248.0853116;6964154.77711037;14136486.8732331
226;-5973942.48865927;-5184210.0606145;-11142575.8221339;-6940286.5904965;5258284.48355245
227;19764704.4718164;-16523112.7636769;-19310301.9826146;-4804721.7794111;-2484196.50514475
228;19965365.9329563;-24324598.8422385;-29685079.0328557;-7506891.31836402;-3126513.39760271
229;39428788.946188;-24591874.630175;-21851594.5888692;-6206029.4299241;125794.568222602
230;41376148.3316913;-23853299.4265178;-19163154.4015618;-6675769.43401723;3445040.97838589
231;50278411.5034389;-23175918.993347;-16024777.0569284;-3285225.68118187;466748.947282306
232;23352260.1197961;-17907123.6096126;-18144709.4120598;-2725474.4868622;2937316.07673638
233;21497667.1228454;-19728603.1779193;-20117546.2428046;-5850161.87600294;2403686.41530679
234;40289697.3106309;-19417577.6020762;-15271668.4601852;-7427528.74249527;-202871.600349984
235;24368817.9659012;-17531547.0682354;-13941155.0991216;-6808723.6273295;854325.985286551
236;-17917786.9919315;-12556250.8057576;-13381352.1632218;-6568535.32868699;1424093.0178715
237;13237895.3259175;-16624438.0663065;-11442336.5726206;-4068090.268966;-3630724.56657046
238;24540573.217846;-17990689.4790455;-10620511.7603952;-5279569.08658113;-4885711.29891949
